Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	2.0000	1.4184	1.4514
2	2.0000	1.4184	1.4514
3	2.0000	1.4184	1.4514
4	0.0000	0.0000	0.0000
5	0.0000	0.0000	0.0000
6	2.0000	1.4184	1.4514
7	2.0000	1.4184	1.4514
8	2.0000	1.4184	1.4514
9	2.0000	1.4184	1.4514
10	2.0000	1.4184	1.4514
11	2.0000	1.4184	1.4514
12	0.0000	0.0000	0.0000
13	2.0000	1.4184	1.4514
14	0.0000	0.0000	0.0000
15	2.0000	1.4184	1.4514
16	2.0000	1.4184	1.4514
17	0.0000	0.0000	0.0000
18	0.0000	0.0000	0.0000
19	2.0000	1.4184	1.4514
20	0.0000	0.0000	0.0000
21	2.0000	1.4184	1.4514
22	0.0000	0.0000	0.0000
23	2.0000	1.4184	1.4514
24	2.0000	1.4184	1.4514
25	2.0000	1.4184	1.4514
26	0.0000	0.0000	0.0000
27	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000
29	2.0000	1.4184	1.4514
30	2.0000	1.4184	1.4514
31	2.0000	1.4184	1.4514
32	2.0000	1.4184	1.4514
33	2.0000	1.4184	1.4514
34	0.0000	0.0000	0.0000
35	0.0000	0.0000	0.0000
36	2.0000	1.4184	1.4514
37	2.0000	1.4184	1.4514
38	0.0000	0.0000	0.0000
39	0.0000	0.0000	0.0000
40	2.0000	1.4184	1.4514
41	2.0000	1.4184	1.4514
42	2.0000	1.4184	1.4514
43	2.0000	1.4184	1.4514
44	0.0000	0.0000	0.0000
45	2.0000	1.4184	1.4514
46	0.0000	0.0000	0.0000
47	2.0000	1.4184	1.4514
48	0.0000	0.0000	0.0000
49	2.0000	1.4184	1.4514
50	2.0000	1.4184	1.4514
51	2.0000	1.4184	1.4514
52	0.0000	0.0000	0.0000
53	2.0000	1.4184	1.4514
54	0.0000	0.0000	0.0000
55	2.0000	1.4184	1.4514
56	0.0000	0.0000	0.0000
57	2.0000	1.4184	1.4514
58	0.0000	0.0000	0.0000
59	2.0000	1.4184	1.4514
60	2.0000	1.4184	1.4514
61	2.0000	1.4184	1.4514
62	2.0000	1.4184	1.4514
63	0.0000	0.0000	0.0000
64	2.0000	1.4184	1.4514
65	2.0000	1.4184	1.4514
66	2.0000	1.4184	1.4514
67	2.0000	1.4184	1.4514
68	2.0000	1.4184	1.4514
69	2.0000	1.4184	1.4514
70	2.0000	1.4184	1.4514
71	2.0000	1.4184	1.4514
72	2.0000	1.4184	1.4514
73	2.0000	1.4184	1.4514
74	2.0000	1.4184	1.4514
75	2.0000	1.4184	1.4514
76	2.0000	1.4184	1.4514
77	2.0000	1.4184	1.4514
78	2.0000	1.4184	1.4514
79	2.0000	1.4184	1.4514
80	0.0000	0.0000	0.0000
81	2.0000	1.4184	1.4514
82	2.0000	1.4184	1.4514
83	0.0000	0.0000	0.0000
84	2.0000	1.4184	1.4514
85	2.0000	1.4184	1.4514
86	2.0000	1.4184	1.4514
87	2.0000	1.4184	1.4514
88	2.0000	1.4184	1.4514
89	2.0000	1.4184	1.4514
90	2.0000	1.4184	1.4514
91	0.0000	0.0000	0.0000
92	2.0000	1.4184	1.4514
93	2.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	2.0000	1.4184	1.4514
96	2.0000	1.4184	1.4514
97	0.0000	0.0000	0.0000
98	2.0000	1.4184	1.4514
99	0.0000	0.0000	0.0000
100	2.0000	1.4184	1.4514
101	0.0000	0.0000	0.0000
102	0.0000	0.0000	0.0000
103	2.0000	1.4184	1.4514
104	2.0000	1.4184	1.4514
105	2.0000	1.4184	1.4514
106	0.0000	0.0000	0.0000
107	2.0000	1.4184	1.4514
108	2.0000	1.4184	1.4514
109	2.0000	1.4184	1.4514
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	2.0000	1.4184	1.4514
113	2.0000	1.4184	1.4514
114	2.0000	1.4184	1.4514
115	2.0000	1.4184	1.4514
116	2.0000	1.4184	1.4514
117	0.0000	0.0000	0.0000
118	0.0000	0.0000	0.0000
119	2.0000	1.4184	1.4514
120	2.0000	1.4184	1.4514
121	0.0000	0.0000	0.0000
122	2.0000	1.4184	1.4514
123	2.0000	1.4184	1.4514
124	2.0000	1.4184	1.4514
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	0.0000	0.0000	0.0000
128	2.0000	1.4184	1.4514
129	2.0000	1.4184	1.4514
130	0.0000	0.0000	0.0000
131	2.0000	1.4184	1.4514
132	2.0000	1.4184	1.4514
133	2.0000	1.4184	1.4514
134	2.0000	1.4184	1.4514
135	2.0000	1.4184	1.4514
136	0.0000	0.0000	0.0000
137	0.0000	0.0000	0.0000
138	2.0000	1.4184	1.4514
139	2.0000	1.4184	1.4514
140	2.0000	1.4184	1.4514
141	0.0000	0.0000	0.0000
142	2.0000	1.4184	1.4514
143	0.0000	0.0000	0.0000
144	2.0000	1.4184	1.4514
145	0.0000	0.0000	0.0000
146	2.0000	1.4184	1.4514
147	2.0000	1.4184	1.4514
148	2.0000	1.4184	1.4514
149	2.0000	1.4184	1.4514
150	0.0000	0.0000	0.0000
151	0.0000	0.0000	0.0000
152	0.0000	0.0000	0.0000
153	2.0000	1.4184	1.4514
154	2.0000	1.4184	1.4514
155	2.0000	1.4184	1.4514
156	0.0000	0.0000	0.0000
157	0.0000	0.0000	0.0000
158	0.0000	0.0000	0.0000
159	2.0000	1.4184	1.4514
160	0.0000	0.0000	0.0000
161	2.0000	1.4184	1.4514
162	0.0000	0.0000	0.0000
163	2.0000	1.4184	1.4514
164	0.0000	0.0000	0.0000
165	2.0000	1.4184	1.4514
166	0.0000	0.0000	0.0000
167	2.0000	1.4184	1.4514
168	2.0000	1.4184	1.4514
169	0.0000	0.0000	0.0000
170	0.0000	0.0000	0.0000
171	0.0000	0.0000	0.0000
172	2.0000	1.4184	1.4514
173	2.0000	1.4184	1.4514
174	2.0000	1.4184	1.4514
175	2.0000	1.4184	1.4514
176	0.0000	0.0000	0.0000
177	2.0000	1.4184	1.4514
178	2.0000	1.4184	1.4514
179	0.0000	0.0000	0.0000
180	2.0000	1.4184	1.4514
181	2.0000	1.4184	1.4514
182	2.0000	1.4184	1.4514
183	2.0000	1.4184	1.4514
184	2.0000	1.4184	1.4514
185	2.0000	1.4184	1.4514
186	2.0000	1.4184	1.4514
187	2.0000	1.4184	1.4514
188	2.0000	1.4184	1.4514
189	0.0000	0.0000	0.0000
190	2.0000	1.4184	1.4514
191	2.0000	1.4184	1.4514
192	2.0000	1.4184	1.4514
193	2.0000	1.4184	1.4514
194	0.0000	0.0000	0.0000
195	2.0000	1.4184	1.4514
196	0.0000	0.0000	0.0000
197	2.0000	1.4184	1.4514
198	2.0000	1.4184	1.4514
199	2.0000	1.4184	1.4514
200	2.0000	1.4184	1.4514
201	0.0000	0.0000	0.0000
202	2.0000	1.4184	1.4514
203	2.0000	1.4184	1.4514
204	2.0000	1.4184	1.4514
205	0.0000	0.0000	0.0000
206	2.0000	1.4184	1.4514
207	0.0000	0.0000	0.0000
208	2.0000	1.4184	1.4514
209	2.0000	1.4184	1.4514
210	2.0000	1.4184	1.4514
211	2.0000	1.4184	1.4514
212	0.0000	0.0000	0.0000
213	2.0000	1.4184	1.4514
214	2.0000	1.4184	1.4514
215	0.0000	0.0000	0.0000
216	2.0000	1.4184	1.4514
217	2.0000	1.4184	1.4514
218	2.0000	1.4184	1.4514
219	2.0000	1.4184	1.4514
220	2.0000	1.4184	1.4514
221	2.0000	1.4184	1.4514
222	0.0000	0.0000	0.0000
223	2.0000	1.4184	1.4514
224	2.0000	1.4184	1.4514
225	0.0000	0.0000	0.0000
226	0.0000	0.0000	0.0000
227	2.0000	1.4184	1.4514
228	2.0000	1.4184	1.4514
229	2.0000	1.4184	1.4514
230	0.0000	0.0000	0.0000
231	0.0000	0.0000	0.0000
232	2.0000	1.4184	1.4514
233	0.0000	0.0000	0.0000
234	2.0000	1.4184	1.4514
235	0.0000	0.0000	0.0000
236	2.0000	1.4184	1.4514
237	2.0000	1.4184	1.4514
238	2.0000	1.4184	1.4514
239	2.0000	1.4184	1.4514
240	2.0000	1.4184	1.4514
