Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	2.0000	1.2369	1.2315
2	2.0000	1.2369	1.2315
3	2.0000	1.2369	1.2315
4	1.0000	0.6184	0.6158
5	1.0000	0.6184	0.6158
6	2.0000	1.2369	1.2315
7	2.0000	1.2369	1.2315
8	2.0000	1.2369	1.2315
9	2.0000	1.2369	1.2315
10	2.0000	1.2369	1.2315
11	2.0000	1.2369	1.2315
12	2.0000	1.2369	1.2315
13	2.0000	1.2369	1.2315
14	2.0000	1.2369	1.2315
15	2.0000	1.2369	1.2315
16	2.0000	1.2369	1.2315
17	0.0000	0.0000	0.0000
18	2.0000	1.2369	1.2315
19	2.0000	1.2369	1.2315
20	1.0000	0.6184	0.6158
21	2.0000	1.2369	1.2315
22	2.0000	1.2369	1.2315
23	2.0000	1.2369	1.2315
24	2.0000	1.2369	1.2315
25	1.0000	0.6184	0.6158
26	2.0000	1.2369	1.2315
27	1.0000	0.6184	0.6158
28	2.0000	1.2369	1.2315
29	2.0000	1.2369	1.2315
30	2.0000	1.2369	1.2315
31	2.0000	1.2369	1.2315
32	2.0000	1.2369	1.2315
33	1.0000	0.6184	0.6158
34	2.0000	1.2369	1.2315
35	2.0000	1.2369	1.2315
36	2.0000	1.2369	1.2315
37	2.0000	1.2369	1.2315
38	2.0000	1.2369	1.2315
39	0.0000	0.0000	0.0000
40	2.0000	1.2369	1.2315
41	2.0000	1.2369	1.2315
42	2.0000	1.2369	1.2315
43	2.0000	1.2369	1.2315
44	2.0000	1.2369	1.2315
45	2.0000	1.2369	1.2315
46	2.0000	1.2369	1.2315
47	2.0000	1.2369	1.2315
48	1.0000	0.6184	0.6158
49	1.0000	0.6184	0.6158
50	2.0000	1.2369	1.2315
51	2.0000	1.2369	1.2315
52	1.0000	0.6184	0.6158
53	2.0000	1.2369	1.2315
54	1.0000	0.6184	0.6158
55	2.0000	1.2369	1.2315
56	1.0000	0.6184	0.6158
57	1.0000	0.6184	0.6158
58	1.0000	0.6184	0.6158
59	2.0000	1.2369	1.2315
60	2.0000	1.2369	1.2315
61	2.0000	1.2369	1.2315
62	2.0000	1.2369	1.2315
63	1.0000	0.6184	0.6158
64	2.0000	1.2369	1.2315
65	2.0000	1.2369	1.2315
66	2.0000	1.2369	1.2315
67	2.0000	1.2369	1.2315
68	2.0000	1.2369	1.2315
69	2.0000	1.2369	1.2315
70	2.0000	1.2369	1.2315
71	1.0000	0.6184	0.6158
72	2.0000	1.2369	1.2315
73	2.0000	1.2369	1.2315
74	2.0000	1.2369	1.2315
75	2.0000	1.2369	1.2315
76	2.0000	1.2369	1.2315
77	2.0000	1.2369	1.2315
78	1.0000	0.6184	0.6158
79	2.0000	1.2369	1.2315
80	2.0000	1.2369	1.2315
81	2.0000	1.2369	1.2315
82	1.0000	0.6184	0.6158
83	0.0000	0.0000	0.0000
84	2.0000	1.2369	1.2315
85	2.0000	1.2369	1.2315
86	2.0000	1.2369	1.2315
87	2.0000	1.2369	1.2315
88	2.0000	1.2369	1.2315
89	2.0000	1.2369	1.2315
90	2.0000	1.2369	1.2315
91	1.0000	0.6184	0.6158
92	2.0000	1.2369	1.2315
93	2.0000	1.2369	1.2315
94	1.0000	0.6184	0.6158
95	2.0000	1.2369	1.2315
96	2.0000	1.2369	1.2315
97	2.0000	1.2369	1.2315
98	2.0000	1.2369	1.2315
99	1.0000	0.6184	0.6158
100	2.0000	1.2369	1.2315
101	1.0000	0.6184	0.6158
102	1.0000	0.6184	0.6158
103	2.0000	1.2369	1.2315
104	2.0000	1.2369	1.2315
105	2.0000	1.2369	1.2315
106	1.0000	0.6184	0.6158
107	2.0000	1.2369	1.2315
108	2.0000	1.2369	1.2315
109	2.0000	1.2369	1.2315
110	2.0000	1.2369	1.2315
111	1.0000	0.6184	0.6158
112	1.0000	0.6184	0.6158
113	2.0000	1.2369	1.2315
114	2.0000	1.2369	1.2315
115	2.0000	1.2369	1.2315
116	1.0000	0.6184	0.6158
117	0.0000	0.0000	0.0000
118	1.0000	0.6184	0.6158
119	2.0000	1.2369	1.2315
120	2.0000	1.2369	1.2315
121	1.0000	0.6184	0.6158
122	2.0000	1.2369	1.2315
123	2.0000	1.2369	1.2315
124	2.0000	1.2369	1.2315
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	1.0000	0.6184	0.6158
128	2.0000	1.2369	1.2315
129	1.0000	0.6184	0.6158
130	1.0000	0.6184	0.6158
131	1.0000	0.6184	0.6158
132	2.0000	1.2369	1.2315
133	2.0000	1.2369	1.2315
134	2.0000	1.2369	1.2315
135	1.0000	0.6184	0.6158
136	1.0000	0.6184	0.6158
137	1.0000	0.6184	0.6158
138	2.0000	1.2369	1.2315
139	2.0000	1.2369	1.2315
140	2.0000	1.2369	1.2315
141	2.0000	1.2369	1.2315
142	2.0000	1.2369	1.2315
143	1.0000	0.6184	0.6158
144	2.0000	1.2369	1.2315
145	1.0000	0.6184	0.6158
146	1.0000	0.6184	0.6158
147	2.0000	1.2369	1.2315
148	2.0000	1.2369	1.2315
149	2.0000	1.2369	1.2315
150	0.0000	0.0000	0.0000
151	0.0000	0.0000	0.0000
152	1.0000	0.6184	0.6158
153	2.0000	1.2369	1.2315
154	2.0000	1.2369	1.2315
155	2.0000	1.2369	1.2315
156	1.0000	0.6184	0.6158
157	1.0000	0.6184	0.6158
158	1.0000	0.6184	0.6158
159	2.0000	1.2369	1.2315
160	2.0000	1.2369	1.2315
161	2.0000	1.2369	1.2315
162	2.0000	1.2369	1.2315
163	2.0000	1.2369	1.2315
164	1.0000	0.6184	0.6158
165	2.0000	1.2369	1.2315
166	1.0000	0.6184	0.6158
167	2.0000	1.2369	1.2315
168	1.0000	0.6184	0.6158
169	1.0000	0.6184	0.6158
170	1.0000	0.6184	0.6158
171	1.0000	0.6184	0.6158
172	2.0000	1.2369	1.2315
173	2.0000	1.2369	1.2315
174	2.0000	1.2369	1.2315
175	2.0000	1.2369	1.2315
176	1.0000	0.6184	0.6158
177	2.0000	1.2369	1.2315
178	2.0000	1.2369	1.2315
179	1.0000	0.6184	0.6158
180	2.0000	1.2369	1.2315
181	2.0000	1.2369	1.2315
182	2.0000	1.2369	1.2315
183	2.0000	1.2369	1.2315
184	1.0000	0.6184	0.6158
185	2.0000	1.2369	1.2315
186	2.0000	1.2369	1.2315
187	2.0000	1.2369	1.2315
188	2.0000	1.2369	1.2315
189	1.0000	0.6184	0.6158
190	2.0000	1.2369	1.2315
191	2.0000	1.2369	1.2315
192	2.0000	1.2369	1.2315
193	2.0000	1.2369	1.2315
194	1.0000	0.6184	0.6158
195	2.0000	1.2369	1.2315
196	2.0000	1.2369	1.2315
197	2.0000	1.2369	1.2315
198	2.0000	1.2369	1.2315
199	2.0000	1.2369	1.2315
200	2.0000	1.2369	1.2315
201	0.0000	0.0000	0.0000
202	1.0000	0.6184	0.6158
203	2.0000	1.2369	1.2315
204	2.0000	1.2369	1.2315
205	1.0000	0.6184	0.6158
206	2.0000	1.2369	1.2315
207	1.0000	0.6184	0.6158
