Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	3.0000	0.9063	0.8863
2	4.0000	1.2085	1.1817
3	4.0000	1.2085	1.1817
4	3.0000	0.9063	0.8863
5	3.0000	0.9063	0.8863
6	3.0000	0.9063	0.8863
7	4.0000	1.2085	1.1817
8	3.0000	0.9063	0.8863
9	3.0000	0.9063	0.8863
10	3.0000	0.9063	0.8863
11	3.0000	0.9063	0.8863
12	6.0000	1.8127	1.7725
13	4.0000	1.2085	1.1817
14	6.0000	1.8127	1.7725
15	4.0000	1.2085	1.1817
16	4.0000	1.2085	1.1817
17	0.0000	0.0000	0.0000
18	6.0000	1.8127	1.7725
19	3.0000	0.9063	0.8863
20	3.0000	0.9063	0.8863
21	4.0000	1.2085	1.1817
22	6.0000	1.8127	1.7725
23	3.0000	0.9063	0.8863
24	3.0000	0.9063	0.8863
25	2.0000	0.6042	0.5908
26	6.0000	1.8127	1.7725
27	3.0000	0.9063	0.8863
28	6.0000	1.8127	1.7725
29	4.0000	1.2085	1.1817
30	3.0000	0.9063	0.8863
31	3.0000	0.9063	0.8863
32	4.0000	1.2085	1.1817
33	2.0000	0.6042	0.5908
34	6.0000	1.8127	1.7725
35	6.0000	1.8127	1.7725
36	3.0000	0.9063	0.8863
37	3.0000	0.9063	0.8863
38	6.0000	1.8127	1.7725
39	0.0000	0.0000	0.0000
40	4.0000	1.2085	1.1817
41	3.0000	0.9063	0.8863
42	4.0000	1.2085	1.1817
43	3.0000	0.9063	0.8863
44	6.0000	1.8127	1.7725
45	4.0000	1.2085	1.1817
46	6.0000	1.8127	1.7725
47	3.0000	0.9063	0.8863
48	2.0000	0.6042	0.5908
49	2.0000	0.6042	0.5908
50	4.0000	1.2085	1.1817
51	3.0000	0.9063	0.8863
52	3.0000	0.9063	0.8863
53	4.0000	1.2085	1.1817
54	3.0000	0.9063	0.8863
55	4.0000	1.2085	1.1817
56	3.0000	0.9063	0.8863
57	2.0000	0.6042	0.5908
58	3.0000	0.9063	0.8863
59	4.0000	1.2085	1.1817
60	3.0000	0.9063	0.8863
61	4.0000	1.2085	1.1817
62	4.0000	1.2085	1.1817
63	2.0000	0.6042	0.5908
64	3.0000	0.9063	0.8863
65	4.0000	1.2085	1.1817
66	3.0000	0.9063	0.8863
67	3.0000	0.9063	0.8863
68	3.0000	0.9063	0.8863
69	4.0000	1.2085	1.1817
70	3.0000	0.9063	0.8863
71	2.0000	0.6042	0.5908
72	3.0000	0.9063	0.8863
73	3.0000	0.9063	0.8863
74	4.0000	1.2085	1.1817
75	4.0000	1.2085	1.1817
76	3.0000	0.9063	0.8863
77	3.0000	0.9063	0.8863
78	2.0000	0.6042	0.5908
79	4.0000	1.2085	1.1817
80	6.0000	1.8127	1.7725
81	3.0000	0.9063	0.8863
82	2.0000	0.6042	0.5908
83	0.0000	0.0000	0.0000
84	3.0000	0.9063	0.8863
85	3.0000	0.9063	0.8863
86	4.0000	1.2085	1.1817
87	4.0000	1.2085	1.1817
88	4.0000	1.2085	1.1817
89	4.0000	1.2085	1.1817
90	3.0000	0.9063	0.8863
91	2.0000	0.6042	0.5908
92	4.0000	1.2085	1.1817
93	4.0000	1.2085	1.1817
94	3.0000	0.9063	0.8863
95	3.0000	0.9063	0.8863
96	3.0000	0.9063	0.8863
97	6.0000	1.8127	1.7725
98	4.0000	1.2085	1.1817
99	3.0000	0.9063	0.8863
100	3.0000	0.9063	0.8863
101	3.0000	0.9063	0.8863
102	3.0000	0.9063	0.8863
103	3.0000	0.9063	0.8863
104	3.0000	0.9063	0.8863
105	3.0000	0.9063	0.8863
106	3.0000	0.9063	0.8863
107	3.0000	0.9063	0.8863
108	3.0000	0.9063	0.8863
109	3.0000	0.9063	0.8863
110	6.0000	1.8127	1.7725
111	3.0000	0.9063	0.8863
112	2.0000	0.6042	0.5908
113	3.0000	0.9063	0.8863
114	3.0000	0.9063	0.8863
115	3.0000	0.9063	0.8863
116	2.0000	0.6042	0.5908
117	0.0000	0.0000	0.0000
118	3.0000	0.9063	0.8863
119	4.0000	1.2085	1.1817
120	4.0000	1.2085	1.1817
121	3.0000	0.9063	0.8863
122	3.0000	0.9063	0.8863
123	3.0000	0.9063	0.8863
124	3.0000	0.9063	0.8863
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	2.0000	0.6042	0.5908
128	4.0000	1.2085	1.1817
129	2.0000	0.6042	0.5908
130	3.0000	0.9063	0.8863
131	2.0000	0.6042	0.5908
132	3.0000	0.9063	0.8863
133	3.0000	0.9063	0.8863
134	3.0000	0.9063	0.8863
135	2.0000	0.6042	0.5908
136	3.0000	0.9063	0.8863
137	3.0000	0.9063	0.8863
138	3.0000	0.9063	0.8863
139	4.0000	1.2085	1.1817
140	3.0000	0.9063	0.8863
141	6.0000	1.8127	1.7725
142	4.0000	1.2085	1.1817
143	3.0000	0.9063	0.8863
144	3.0000	0.9063	0.8863
145	3.0000	0.9063	0.8863
146	2.0000	0.6042	0.5908
147	3.0000	0.9063	0.8863
148	3.0000	0.9063	0.8863
149	3.0000	0.9063	0.8863
150	0.0000	0.0000	0.0000
151	0.0000	0.0000	0.0000
152	3.0000	0.9063	0.8863
153	4.0000	1.2085	1.1817
154	4.0000	1.2085	1.1817
155	3.0000	0.9063	0.8863
156	3.0000	0.9063	0.8863
157	3.0000	0.9063	0.8863
158	3.0000	0.9063	0.8863
159	3.0000	0.9063	0.8863
160	6.0000	1.8127	1.7725
161	3.0000	0.9063	0.8863
162	6.0000	1.8127	1.7725
163	3.0000	0.9063	0.8863
164	3.0000	0.9063	0.8863
165	3.0000	0.9063	0.8863
166	3.0000	0.9063	0.8863
167	3.0000	0.9063	0.8863
168	2.0000	0.6042	0.5908
169	3.0000	0.9063	0.8863
170	3.0000	0.9063	0.8863
171	3.0000	0.9063	0.8863
172	3.0000	0.9063	0.8863
173	3.0000	0.9063	0.8863
174	4.0000	1.2085	1.1817
175	4.0000	1.2085	1.1817
176	3.0000	0.9063	0.8863
177	4.0000	1.2085	1.1817
178	3.0000	0.9063	0.8863
179	2.0000	0.6042	0.5908
180	3.0000	0.9063	0.8863
181	4.0000	1.2085	1.1817
182	4.0000	1.2085	1.1817
183	3.0000	0.9063	0.8863
184	2.0000	0.6042	0.5908
185	3.0000	0.9063	0.8863
186	4.0000	1.2085	1.1817
187	4.0000	1.2085	1.1817
188	4.0000	1.2085	1.1817
189	3.0000	0.9063	0.8863
190	4.0000	1.2085	1.1817
191	4.0000	1.2085	1.1817
192	3.0000	0.9063	0.8863
193	3.0000	0.9063	0.8863
194	2.0000	0.6042	0.5908
195	3.0000	0.9063	0.8863
196	6.0000	1.8127	1.7725
197	4.0000	1.2085	1.1817
198	4.0000	1.2085	1.1817
199	3.0000	0.9063	0.8863
200	4.0000	1.2085	1.1817
201	0.0000	0.0000	0.0000
202	2.0000	0.6042	0.5908
203	3.0000	0.9063	0.8863
204	3.0000	0.9063	0.8863
205	3.0000	0.9063	0.8863
206	3.0000	0.9063	0.8863
207	3.0000	0.9063	0.8863
208	3.0000	0.9063	0.8863
209	3.0000	0.9063	0.8863
210	3.0000	0.9063	0.8863
211	3.0000	0.9063	0.8863
212	2.0000	0.6042	0.5908
213	4.0000	1.2085	1.1817
214	3.0000	0.9063	0.8863
215	3.0000	0.9063	0.8863
216	3.0000	0.9063	0.8863
217	2.0000	0.6042	0.5908
218	2.0000	0.6042	0.5908
219	4.0000	1.2085	1.1817
220	3.0000	0.9063	0.8863
221	3.0000	0.9063	0.8863
222	3.0000	0.9063	0.8863
223	3.0000	0.9063	0.8863
224	3.0000	0.9063	0.8863
225	3.0000	0.9063	0.8863
226	6.0000	1.8127	1.7725
227	3.0000	0.9063	0.8863
228	3.0000	0.9063	0.8863
229	3.0000	0.9063	0.8863
230	6.0000	1.8127	1.7725
231	2.0000	0.6042	0.5908
232	3.0000	0.9063	0.8863
233	2.0000	0.6042	0.5908
234	4.0000	1.2085	1.1817
235	2.0000	0.6042	0.5908
236	3.0000	0.9063	0.8863
237	4.0000	1.2085	1.1817
238	4.0000	1.2085	1.1817
239	3.0000	0.9063	0.8863
240	3.0000	0.9063	0.8863
241	3.0000	0.9063	0.8863
242	6.0000	1.8127	1.7725
243	4.0000	1.2085	1.1817
244	2.0000	0.6042	0.5908
245	2.0000	0.6042	0.5908
246	6.0000	1.8127	1.7725
247	6.0000	1.8127	1.7725
248	3.0000	0.9063	0.8863
249	3.0000	0.9063	0.8863
250	0.0000	0.0000	0.0000
251	3.0000	0.9063	0.8863
252	3.0000	0.9063	0.8863
253	3.0000	0.9063	0.8863
254	4.0000	1.2085	1.1817
255	6.0000	1.8127	1.7725
256	4.0000	1.2085	1.1817
257	4.0000	1.2085	1.1817
258	0.0000	0.0000	0.0000
259	3.0000	0.9063	0.8863
260	4.0000	1.2085	1.1817
261	2.0000	0.6042	0.5908
262	3.0000	0.9063	0.8863
263	4.0000	1.2085	1.1817
264	3.0000	0.9063	0.8863
265	4.0000	1.2085	1.1817
266	3.0000	0.9063	0.8863
267	3.0000	0.9063	0.8863
268	4.0000	1.2085	1.1817
269	3.0000	0.9063	0.8863
270	3.0000	0.9063	0.8863
271	4.0000	1.2085	1.1817
272	4.0000	1.2085	1.1817
273	4.0000	1.2085	1.1817
274	3.0000	0.9063	0.8863
275	3.0000	0.9063	0.8863
276	3.0000	0.9063	0.8863
277	3.0000	0.9063	0.8863
278	4.0000	1.2085	1.1817
279	3.0000	0.9063	0.8863
280	3.0000	0.9063	0.8863
281	3.0000	0.9063	0.8863
282	3.0000	0.9063	0.8863
283	3.0000	0.9063	0.8863
284	6.0000	1.8127	1.7725
285	4.0000	1.2085	1.1817
286	3.0000	0.9063	0.8863
287	2.0000	0.6042	0.5908
288	4.0000	1.2085	1.1817
289	3.0000	0.9063	0.8863
290	2.0000	0.6042	0.5908
291	4.0000	1.2085	1.1817
292	3.0000	0.9063	0.8863
293	2.0000	0.6042	0.5908
294	3.0000	0.9063	0.8863
295	3.0000	0.9063	0.8863
296	0.0000	0.0000	0.0000
297	4.0000	1.2085	1.1817
298	3.0000	0.9063	0.8863
299	3.0000	0.9063	0.8863
300	2.0000	0.6042	0.5908
301	3.0000	0.9063	0.8863
302	2.0000	0.6042	0.5908
303	2.0000	0.6042	0.5908
304	3.0000	0.9063	0.8863
305	4.0000	1.2085	1.1817
306	3.0000	0.9063	0.8863
307	4.0000	1.2085	1.1817
308	4.0000	1.2085	1.1817
309	3.0000	0.9063	0.8863
310	4.0000	1.2085	1.1817
311	4.0000	1.2085	1.1817
312	3.0000	0.9063	0.8863
313	4.0000	1.2085	1.1817
314	3.0000	0.9063	0.8863
315	3.0000	0.9063	0.8863
316	4.0000	1.2085	1.1817
317	3.0000	0.9063	0.8863
318	0.0000	0.0000	0.0000
319	3.0000	0.9063	0.8863
320	4.0000	1.2085	1.1817
321	4.0000	1.2085	1.1817
322	3.0000	0.9063	0.8863
323	3.0000	0.9063	0.8863
324	3.0000	0.9063	0.8863
325	4.0000	1.2085	1.1817
326	3.0000	0.9063	0.8863
327	3.0000	0.9063	0.8863
328	3.0000	0.9063	0.8863
329	3.0000	0.9063	0.8863
330	3.0000	0.9063	0.8863
331	2.0000	0.6042	0.5908
332	6.0000	1.8127	1.7725
333	3.0000	0.9063	0.8863
334	3.0000	0.9063	0.8863
335	3.0000	0.9063	0.8863
336	4.0000	1.2085	1.1817
337	3.0000	0.9063	0.8863
338	4.0000	1.2085	1.1817
339	3.0000	0.9063	0.8863
340	3.0000	0.9063	0.8863
341	6.0000	1.8127	1.7725
342	3.0000	0.9063	0.8863
343	3.0000	0.9063	0.8863
344	3.0000	0.9063	0.8863
345	4.0000	1.2085	1.1817
346	3.0000	0.9063	0.8863
