Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1.0000	1.4184	1.4514
2	1.0000	1.4184	1.4514
3	1.0000	1.4184	1.4514
4	0.0000	0.0000	0.0000
5	0.0000	0.0000	0.0000
6	1.0000	1.4184	1.4514
7	1.0000	1.4184	1.4514
8	1.0000	1.4184	1.4514
9	1.0000	1.4184	1.4514
10	1.0000	1.4184	1.4514
11	1.0000	1.4184	1.4514
12	0.0000	0.0000	0.0000
13	1.0000	1.4184	1.4514
14	0.0000	0.0000	0.0000
15	1.0000	1.4184	1.4514
16	1.0000	1.4184	1.4514
17	0.0000	0.0000	0.0000
18	0.0000	0.0000	0.0000
19	1.0000	1.4184	1.4514
20	0.0000	0.0000	0.0000
21	1.0000	1.4184	1.4514
22	0.0000	0.0000	0.0000
23	1.0000	1.4184	1.4514
24	1.0000	1.4184	1.4514
25	1.0000	1.4184	1.4514
26	0.0000	0.0000	0.0000
27	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000
29	1.0000	1.4184	1.4514
30	1.0000	1.4184	1.4514
31	1.0000	1.4184	1.4514
32	1.0000	1.4184	1.4514
33	1.0000	1.4184	1.4514
34	0.0000	0.0000	0.0000
35	0.0000	0.0000	0.0000
36	1.0000	1.4184	1.4514
37	1.0000	1.4184	1.4514
38	0.0000	0.0000	0.0000
39	0.0000	0.0000	0.0000
40	1.0000	1.4184	1.4514
41	1.0000	1.4184	1.4514
42	1.0000	1.4184	1.4514
43	1.0000	1.4184	1.4514
44	0.0000	0.0000	0.0000
45	1.0000	1.4184	1.4514
46	0.0000	0.0000	0.0000
47	1.0000	1.4184	1.4514
48	0.0000	0.0000	0.0000
49	1.0000	1.4184	1.4514
50	1.0000	1.4184	1.4514
51	1.0000	1.4184	1.4514
52	0.0000	0.0000	0.0000
53	1.0000	1.4184	1.4514
54	0.0000	0.0000	0.0000
55	1.0000	1.4184	1.4514
56	0.0000	0.0000	0.0000
57	1.0000	1.4184	1.4514
58	0.0000	0.0000	0.0000
59	1.0000	1.4184	1.4514
60	1.0000	1.4184	1.4514
61	1.0000	1.4184	1.4514
62	1.0000	1.4184	1.4514
63	0.0000	0.0000	0.0000
64	1.0000	1.4184	1.4514
65	1.0000	1.4184	1.4514
66	1.0000	1.4184	1.4514
67	1.0000	1.4184	1.4514
68	1.0000	1.4184	1.4514
69	1.0000	1.4184	1.4514
70	1.0000	1.4184	1.4514
71	1.0000	1.4184	1.4514
72	1.0000	1.4184	1.4514
73	1.0000	1.4184	1.4514
74	1.0000	1.4184	1.4514
75	1.0000	1.4184	1.4514
76	1.0000	1.4184	1.4514
77	1.0000	1.4184	1.4514
78	1.0000	1.4184	1.4514
79	1.0000	1.4184	1.4514
80	0.0000	0.0000	0.0000
81	1.0000	1.4184	1.4514
82	1.0000	1.4184	1.4514
83	0.0000	0.0000	0.0000
84	1.0000	1.4184	1.4514
85	1.0000	1.4184	1.4514
86	1.0000	1.4184	1.4514
87	1.0000	1.4184	1.4514
88	1.0000	1.4184	1.4514
89	1.0000	1.4184	1.4514
90	1.0000	1.4184	1.4514
91	0.0000	0.0000	0.0000
92	1.0000	1.4184	1.4514
93	1.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	1.0000	1.4184	1.4514
96	1.0000	1.4184	1.4514
97	0.0000	0.0000	0.0000
98	1.0000	1.4184	1.4514
99	0.0000	0.0000	0.0000
100	1.0000	1.4184	1.4514
101	0.0000	0.0000	0.0000
102	0.0000	0.0000	0.0000
103	1.0000	1.4184	1.4514
104	1.0000	1.4184	1.4514
105	1.0000	1.4184	1.4514
106	0.0000	0.0000	0.0000
107	1.0000	1.4184	1.4514
108	1.0000	1.4184	1.4514
109	1.0000	1.4184	1.4514
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	1.0000	1.4184	1.4514
113	1.0000	1.4184	1.4514
114	1.0000	1.4184	1.4514
115	1.0000	1.4184	1.4514
116	1.0000	1.4184	1.4514
117	0.0000	0.0000	0.0000
118	0.0000	0.0000	0.0000
119	1.0000	1.4184	1.4514
120	1.0000	1.4184	1.4514
121	0.0000	0.0000	0.0000
122	1.0000	1.4184	1.4514
123	1.0000	1.4184	1.4514
124	1.0000	1.4184	1.4514
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	0.0000	0.0000	0.0000
128	1.0000	1.4184	1.4514
129	1.0000	1.4184	1.4514
130	0.0000	0.0000	0.0000
131	1.0000	1.4184	1.4514
132	1.0000	1.4184	1.4514
133	1.0000	1.4184	1.4514
134	1.0000	1.4184	1.4514
135	1.0000	1.4184	1.4514
136	0.0000	0.0000	0.0000
137	0.0000	0.0000	0.0000
138	1.0000	1.4184	1.4514
139	1.0000	1.4184	1.4514
140	1.0000	1.4184	1.4514
141	0.0000	0.0000	0.0000
142	1.0000	1.4184	1.4514
143	0.0000	0.0000	0.0000
144	1.0000	1.4184	1.4514
145	0.0000	0.0000	0.0000
146	1.0000	1.4184	1.4514
147	1.0000	1.4184	1.4514
148	1.0000	1.4184	1.4514
149	1.0000	1.4184	1.4514
150	0.0000	0.0000	0.0000
151	0.0000	0.0000	0.0000
152	0.0000	0.0000	0.0000
153	1.0000	1.4184	1.4514
154	1.0000	1.4184	1.4514
155	1.0000	1.4184	1.4514
156	0.0000	0.0000	0.0000
157	0.0000	0.0000	0.0000
158	0.0000	0.0000	0.0000
159	1.0000	1.4184	1.4514
160	0.0000	0.0000	0.0000
161	1.0000	1.4184	1.4514
162	0.0000	0.0000	0.0000
163	1.0000	1.4184	1.4514
164	0.0000	0.0000	0.0000
165	1.0000	1.4184	1.4514
166	0.0000	0.0000	0.0000
167	1.0000	1.4184	1.4514
168	1.0000	1.4184	1.4514
169	0.0000	0.0000	0.0000
170	0.0000	0.0000	0.0000
171	0.0000	0.0000	0.0000
172	1.0000	1.4184	1.4514
173	1.0000	1.4184	1.4514
174	1.0000	1.4184	1.4514
175	1.0000	1.4184	1.4514
176	0.0000	0.0000	0.0000
177	1.0000	1.4184	1.4514
178	1.0000	1.4184	1.4514
179	0.0000	0.0000	0.0000
180	1.0000	1.4184	1.4514
181	1.0000	1.4184	1.4514
182	1.0000	1.4184	1.4514
183	1.0000	1.4184	1.4514
184	1.0000	1.4184	1.4514
185	1.0000	1.4184	1.4514
186	1.0000	1.4184	1.4514
187	1.0000	1.4184	1.4514
188	1.0000	1.4184	1.4514
189	0.0000	0.0000	0.0000
190	1.0000	1.4184	1.4514
191	1.0000	1.4184	1.4514
192	1.0000	1.4184	1.4514
193	1.0000	1.4184	1.4514
194	0.0000	0.0000	0.0000
195	1.0000	1.4184	1.4514
196	0.0000	0.0000	0.0000
197	1.0000	1.4184	1.4514
198	1.0000	1.4184	1.4514
199	1.0000	1.4184	1.4514
200	1.0000	1.4184	1.4514
201	0.0000	0.0000	0.0000
202	1.0000	1.4184	1.4514
203	1.0000	1.4184	1.4514
204	1.0000	1.4184	1.4514
205	0.0000	0.0000	0.0000
206	1.0000	1.4184	1.4514
207	0.0000	0.0000	0.0000
208	1.0000	1.4184	1.4514
209	1.0000	1.4184	1.4514
210	1.0000	1.4184	1.4514
211	1.0000	1.4184	1.4514
212	0.0000	0.0000	0.0000
213	1.0000	1.4184	1.4514
214	1.0000	1.4184	1.4514
215	0.0000	0.0000	0.0000
216	1.0000	1.4184	1.4514
217	1.0000	1.4184	1.4514
218	1.0000	1.4184	1.4514
219	1.0000	1.4184	1.4514
220	1.0000	1.4184	1.4514
221	1.0000	1.4184	1.4514
222	0.0000	0.0000	0.0000
223	1.0000	1.4184	1.4514
224	1.0000	1.4184	1.4514
225	0.0000	0.0000	0.0000
226	0.0000	0.0000	0.0000
227	1.0000	1.4184	1.4514
228	1.0000	1.4184	1.4514
229	1.0000	1.4184	1.4514
230	0.0000	0.0000	0.0000
231	0.0000	0.0000	0.0000
232	1.0000	1.4184	1.4514
233	0.0000	0.0000	0.0000
234	1.0000	1.4184	1.4514
235	0.0000	0.0000	0.0000
236	1.0000	1.4184	1.4514
237	1.0000	1.4184	1.4514
238	1.0000	1.4184	1.4514
239	1.0000	1.4184	1.4514
240	1.0000	1.4184	1.4514
241	0.0000	0.0000	0.0000
242	0.0000	0.0000	0.0000
243	1.0000	1.4184	1.4514
244	1.0000	1.4184	1.4514
245	1.0000	1.4184	1.4514
246	0.0000	0.0000	0.0000
247	0.0000	0.0000	0.0000
248	0.0000	0.0000	0.0000
249	0.0000	0.0000	0.0000
250	0.0000	0.0000	0.0000
251	0.0000	0.0000	0.0000
252	1.0000	1.4184	1.4514
253	1.0000	1.4184	1.4514
254	1.0000	1.4184	1.4514
255	0.0000	0.0000	0.0000
256	1.0000	1.4184	1.4514
257	1.0000	1.4184	1.4514
258	0.0000	0.0000	0.0000
259	0.0000	0.0000	0.0000
260	1.0000	1.4184	1.4514
261	1.0000	1.4184	1.4514
262	1.0000	1.4184	1.4514
263	1.0000	1.4184	1.4514
264	1.0000	1.4184	1.4514
265	1.0000	1.4184	1.4514
266	1.0000	1.4184	1.4514
267	0.0000	0.0000	0.0000
268	1.0000	1.4184	1.4514
269	1.0000	1.4184	1.4514
270	1.0000	1.4184	1.4514
271	1.0000	1.4184	1.4514
272	1.0000	1.4184	1.4514
273	1.0000	1.4184	1.4514
274	1.0000	1.4184	1.4514
275	1.0000	1.4184	1.4514
276	1.0000	1.4184	1.4514
277	1.0000	1.4184	1.4514
278	1.0000	1.4184	1.4514
279	1.0000	1.4184	1.4514
280	0.0000	0.0000	0.0000
281	1.0000	1.4184	1.4514
282	1.0000	1.4184	1.4514
283	1.0000	1.4184	1.4514
284	0.0000	0.0000	0.0000
285	1.0000	1.4184	1.4514
286	0.0000	0.0000	0.0000
287	1.0000	1.4184	1.4514
288	1.0000	1.4184	1.4514
289	1.0000	1.4184	1.4514
290	1.0000	1.4184	1.4514
291	1.0000	1.4184	1.4514
292	1.0000	1.4184	1.4514
293	0.0000	0.0000	0.0000
294	1.0000	1.4184	1.4514
295	1.0000	1.4184	1.4514
296	0.0000	0.0000	0.0000
297	1.0000	1.4184	1.4514
298	0.0000	0.0000	0.0000
299	1.0000	1.4184	1.4514
300	1.0000	1.4184	1.4514
301	1.0000	1.4184	1.4514
302	0.0000	0.0000	0.0000
303	1.0000	1.4184	1.4514
304	0.0000	0.0000	0.0000
305	1.0000	1.4184	1.4514
306	1.0000	1.4184	1.4514
307	1.0000	1.4184	1.4514
308	1.0000	1.4184	1.4514
309	1.0000	1.4184	1.4514
310	1.0000	1.4184	1.4514
311	1.0000	1.4184	1.4514
312	1.0000	1.4184	1.4514
313	1.0000	1.4184	1.4514
314	0.0000	0.0000	0.0000
315	0.0000	0.0000	0.0000
316	1.0000	1.4184	1.4514
317	1.0000	1.4184	1.4514
318	0.0000	0.0000	0.0000
319	1.0000	1.4184	1.4514
320	1.0000	1.4184	1.4514
321	1.0000	1.4184	1.4514
322	0.0000	0.0000	0.0000
323	0.0000	0.0000	0.0000
324	1.0000	1.4184	1.4514
325	1.0000	1.4184	1.4514
326	1.0000	1.4184	1.4514
327	1.0000	1.4184	1.4514
328	0.0000	0.0000	0.0000
329	1.0000	1.4184	1.4514
330	1.0000	1.4184	1.4514
331	0.0000	0.0000	0.0000
332	0.0000	0.0000	0.0000
333	1.0000	1.4184	1.4514
334	1.0000	1.4184	1.4514
335	1.0000	1.4184	1.4514
336	1.0000	1.4184	1.4514
337	0.0000	0.0000	0.0000
338	1.0000	1.4184	1.4514
339	1.0000	1.4184	1.4514
340	1.0000	1.4184	1.4514
341	0.0000	0.0000	0.0000
342	0.0000	0.0000	0.0000
343	0.0000	0.0000	0.0000
344	1.0000	1.4184	1.4514
345	1.0000	1.4184	1.4514
346	1.0000	1.4184	1.4514
347	1.0000	1.4184	1.4514
348	0.0000	0.0000	0.0000
349	1.0000	1.4184	1.4514
350	1.0000	1.4184	1.4514
351	0.0000	0.0000	0.0000
352	0.0000	0.0000	0.0000
353	1.0000	1.4184	1.4514
354	0.0000	0.0000	0.0000
355	1.0000	1.4184	1.4514
356	0.0000	0.0000	0.0000
357	1.0000	1.4184	1.4514
358	1.0000	1.4184	1.4514
359	0.0000	0.0000	0.0000
360	0.0000	0.0000	0.0000
361	1.0000	1.4184	1.4514
362	1.0000	1.4184	1.4514
363	1.0000	1.4184	1.4514
364	1.0000	1.4184	1.4514
365	0.0000	0.0000	0.0000
366	0.0000	0.0000	0.0000
367	1.0000	1.4184	1.4514
368	0.0000	0.0000	0.0000
369	1.0000	1.4184	1.4514
370	0.0000	0.0000	0.0000
371	1.0000	1.4184	1.4514
372	0.0000	0.0000	0.0000
373	0.0000	0.0000	0.0000
374	1.0000	1.4184	1.4514
375	1.0000	1.4184	1.4514
376	0.0000	0.0000	0.0000
377	1.0000	1.4184	1.4514
378	1.0000	1.4184	1.4514
379	0.0000	0.0000	0.0000
380	1.0000	1.4184	1.4514
381	0.0000	0.0000	0.0000
382	0.0000	0.0000	0.0000
383	0.0000	0.0000	0.0000
384	0.0000	0.0000	0.0000
385	1.0000	1.4184	1.4514
386	1.0000	1.4184	1.4514
387	1.0000	1.4184	1.4514
388	0.0000	0.0000	0.0000
389	0.0000	0.0000	0.0000
390	1.0000	1.4184	1.4514
391	1.0000	1.4184	1.4514
392	1.0000	1.4184	1.4514
393	1.0000	1.4184	1.4514
394	0.0000	0.0000	0.0000
395	1.0000	1.4184	1.4514
396	1.0000	1.4184	1.4514
397	0.0000	0.0000	0.0000
398	1.0000	1.4184	1.4514
399	0.0000	0.0000	0.0000
400	1.0000	1.4184	1.4514
401	1.0000	1.4184	1.4514
402	0.0000	0.0000	0.0000
403	0.0000	0.0000	0.0000
404	1.0000	1.4184	1.4514
405	1.0000	1.4184	1.4514
406	0.0000	0.0000	0.0000
407	0.0000	0.0000	0.0000
408	0.0000	0.0000	0.0000
409	1.0000	1.4184	1.4514
410	0.0000	0.0000	0.0000
411	0.0000	0.0000	0.0000
412	1.0000	1.4184	1.4514
413	1.0000	1.4184	1.4514
414	1.0000	1.4184	1.4514
415	1.0000	1.4184	1.4514
416	1.0000	1.4184	1.4514
417	0.0000	0.0000	0.0000
418	1.0000	1.4184	1.4514
419	0.0000	0.0000	0.0000
420	1.0000	1.4184	1.4514
421	1.0000	1.4184	1.4514
422	1.0000	1.4184	1.4514
423	1.0000	1.4184	1.4514
424	1.0000	1.4184	1.4514
425	0.0000	0.0000	0.0000
426	0.0000	0.0000	0.0000
427	1.0000	1.4184	1.4514
428	1.0000	1.4184	1.4514
429	1.0000	1.4184	1.4514
430	1.0000	1.4184	1.4514
431	0.0000	0.0000	0.0000
432	1.0000	1.4184	1.4514
433	1.0000	1.4184	1.4514
434	0.0000	0.0000	0.0000
435	1.0000	1.4184	1.4514
436	1.0000	1.4184	1.4514
437	0.0000	0.0000	0.0000
438	0.0000	0.0000	0.0000
439	1.0000	1.4184	1.4514
440	1.0000	1.4184	1.4514
441	1.0000	1.4184	1.4514
442	1.0000	1.4184	1.4514
443	1.0000	1.4184	1.4514
444	0.0000	0.0000	0.0000
445	0.0000	0.0000	0.0000
446	1.0000	1.4184	1.4514
447	1.0000	1.4184	1.4514
448	1.0000	1.4184	1.4514
449	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000
451	1.0000	1.4184	1.4514
452	1.0000	1.4184	1.4514
453	0.0000	0.0000	0.0000
454	1.0000	1.4184	1.4514
455	0.0000	0.0000	0.0000
456	1.0000	1.4184	1.4514
457	1.0000	1.4184	1.4514
458	0.0000	0.0000	0.0000
459	1.0000	1.4184	1.4514
460	1.0000	1.4184	1.4514
461	1.0000	1.4184	1.4514
462	1.0000	1.4184	1.4514
463	1.0000	1.4184	1.4514
464	1.0000	1.4184	1.4514
465	1.0000	1.4184	1.4514
466	1.0000	1.4184	1.4514
467	1.0000	1.4184	1.4514
468	1.0000	1.4184	1.4514
469	1.0000	1.4184	1.4514
470	1.0000	1.4184	1.4514
471	1.0000	1.4184	1.4514
472	1.0000	1.4184	1.4514
473	0.0000	0.0000	0.0000
474	0.0000	0.0000	0.0000
475	0.0000	0.0000	0.0000
476	0.0000	0.0000	0.0000
477	0.0000	0.0000	0.0000
478	1.0000	1.4184	1.4514
479	0.0000	0.0000	0.0000
480	1.0000	1.4184	1.4514
481	0.0000	0.0000	0.0000
482	1.0000	1.4184	1.4514
483	1.0000	1.4184	1.4514
484	1.0000	1.4184	1.4514
485	1.0000	1.4184	1.4514
486	1.0000	1.4184	1.4514
487	1.0000	1.4184	1.4514
488	1.0000	1.4184	1.4514
489	0.0000	0.0000	0.0000
490	1.0000	1.4184	1.4514
491	1.0000	1.4184	1.4514
492	1.0000	1.4184	1.4514
493	1.0000	1.4184	1.4514
494	1.0000	1.4184	1.4514
495	0.0000	0.0000	0.0000
496	0.0000	0.0000	0.0000
497	0.0000	0.0000	0.0000
498	1.0000	1.4184	1.4514
499	0.0000	0.0000	0.0000
500	1.0000	1.4184	1.4514
501	1.0000	1.4184	1.4514
502	1.0000	1.4184	1.4514
503	0.0000	0.0000	0.0000
504	1.0000	1.4184	1.4514
505	1.0000	1.4184	1.4514
506	1.0000	1.4184	1.4514
507	0.0000	0.0000	0.0000
508	1.0000	1.4184	1.4514
509	1.0000	1.4184	1.4514
510	1.0000	1.4184	1.4514
511	1.0000	1.4184	1.4514
512	0.0000	0.0000	0.0000
513	1.0000	1.4184	1.4514
514	0.0000	0.0000	0.0000
515	0.0000	0.0000	0.0000
516	1.0000	1.4184	1.4514
517	1.0000	1.4184	1.4514
518	0.0000	0.0000	0.0000
519	1.0000	1.4184	1.4514
520	1.0000	1.4184	1.4514
521	1.0000	1.4184	1.4514
522	1.0000	1.4184	1.4514
523	1.0000	1.4184	1.4514
524	1.0000	1.4184	1.4514
525	1.0000	1.4184	1.4514
526	1.0000	1.4184	1.4514
527	1.0000	1.4184	1.4514
528	1.0000	1.4184	1.4514
529	1.0000	1.4184	1.4514
530	1.0000	1.4184	1.4514
531	0.0000	0.0000	0.0000
532	1.0000	1.4184	1.4514
533	0.0000	0.0000	0.0000
534	1.0000	1.4184	1.4514
535	1.0000	1.4184	1.4514
536	1.0000	1.4184	1.4514
537	1.0000	1.4184	1.4514
538	0.0000	0.0000	0.0000
539	0.0000	0.0000	0.0000
540	1.0000	1.4184	1.4514
541	1.0000	1.4184	1.4514
542	0.0000	0.0000	0.0000
543	0.0000	0.0000	0.0000
544	1.0000	1.4184	1.4514
545	1.0000	1.4184	1.4514
546	0.0000	0.0000	0.0000
547	1.0000	1.4184	1.4514
548	1.0000	1.4184	1.4514
549	1.0000	1.4184	1.4514
550	1.0000	1.4184	1.4514
551	1.0000	1.4184	1.4514
552	1.0000	1.4184	1.4514
553	1.0000	1.4184	1.4514
554	1.0000	1.4184	1.4514
555	1.0000	1.4184	1.4514
556	0.0000	0.0000	0.0000
557	1.0000	1.4184	1.4514
558	0.0000	0.0000	0.0000
559	1.0000	1.4184	1.4514
560	1.0000	1.4184	1.4514
561	1.0000	1.4184	1.4514
